era,BINANCE_STAKE_9,🐑 HODL.FARM 🐑,P2P.ORG,BESTVALIDATOR | ZURICH,COSMOON,HYPERSPHERE,Chris-Staking,STAKE HULK👽,COSMOTRON,KOLKADOT.COM𐳝𐳝,🐝 CRYPTOBEES.XYZ,Coinbase,ROTKO.NET,cryptostake.com 🇨🇭🇺🇦,SUNSHINEAUTOSDOT,BINANCE_STAKE_7,Merkletribe,helixstreet.foundation,Mile🌍,pos.dog,ITRocket,Joe,Titan Nodes,Staker Space,DotSkull,Staking4All 🥩,Figment 8,🐟YellowFin Tuna🐟,GATOTECH,STAKE.SU,BINANCE_STAKE_11,LEGEND,talisman.xyz,Polkadotters,Uno Staking,ParaNodes.io,DRAGONSTAKE 🐲,Amforc,deigenvektor.io,DOZENODES.COM,Jaco,HYPERSPEED,Blockseeker.io,binance_stake_1,Luganodes,Zug Capital,Blockdaemon,🏔 HELIKON 🏔,STAKEPILE,ECH0.RE,🔒stateless_money🔒,BINANCE_STAKE_8,🌌 Novasama 🌌,Encointer,PromoTeam Validator | 0-5%,Dionysus🍇,StakedTech,PROOF.COMPUTER,🌐 decentraDOT.com 🌐,ProStakers.com 💎,ValidOrange,INTERWEB (also try POOL #18),Figment 1,Figment 2,Nodeasy,RADIUMBLOCK.COM,turboflakes.io,dakkk,DotKeeper,anvel,APERTURE MINING 🎂,SAXEMBERG,snf dot validator,GuruStaking👳,🧊 Iceberg Nodes 🧊,EXNESS.COM,vonFlandern,KeepNode,Swiss Bond,Stake🧲Magnet,SubWallet,P2P STAKING,♞GameTheory♜,dothub-1,BINANCE_STAKE_10,wiggumdot,openbitlab,PERMANENCE DAO,Paramito,🚂 Zugian Duck 🦆,BINANCE_STAKE_4,Khastor,KILN,BINANCE_STAKE_13,ALFASTAKE,RockX_Polkadot3,WDMASTER,RockX_Polkadot,digitalghost.xyz,Coinstudio,Kraken01,AZIMUT,Stakeworld.io,ZKV,Ryabina,PureStake,Zetetic Validator,🕴TUXEDO🕴,😻 Stake Kat 😻,🍯 HoneyStake.xyz 🍯,pathrocknetwork,General-Beck,Kuzo,LXLXLX,BINANCE_STAKE_14,KIRA Staking,BINANCE_STAKE_3,POWERSTAKE POLKADOT,BINANCE_STAKE_15,SNZPool-1,cedric.AAA🦊| ajuna.io,BINANCE_STAKE_6,ANAMIX,BINANCE_STAKE_5,Meria,Tesla,Figment 3,Figment 4,Sik | crifferent.de,VF Validierung 🇩🇪,POLKACHU.COM,dotvalidators.com,Stakebaby,NEWDEAL,Sio34,binance_stake_2,CP287-CLOUDWALK,Cypher Labs,Current,BINANCE_STAKE_12,1% - GTSTAKING,Stampede,INFRASTRUCTURE CORPORATION,Figment 5,Cointelegraph,Taichung,Figment 7,qdrvm-dot-validator-1,DARKFOREST,ilgio,NeNa 🌻,ULTRANODES,LuckyFriday.io,IOSG Ventures,Stake Plus
1882,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0
1883,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0
1884,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0
1885,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0
1886,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
1887,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1
1888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
1889,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1
1890,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1
1891,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0
